number,name,location,rank,comments,
1,The Juggernauts,Pontiac: MI: USA,1,5,
4,Team 4 ELEMENT,Van Nuys: CA: USA,8,6,
5,Robocards,Melvindale: MI: USA,2,1,
6,The CogSquad,Plymouth: MN: USA,1,3,
7,Team007,Baltimore: MD: USA,2,1,
8,Team 8,Palo Alto: CA: USA,5,6,
9,Roosevelt RoboRiders,Chicago: IL: USA,16,4,
10,Red Knights,St. Louis Park: MN: USA,9,6,
11,MORT,Flanders: NJ: USA,1,1,
13,--,--,6,3,
14,--,--,2,1,
15,--,--,6,1,
16,Bomb Squad,Mountain Home: AR: USA,2,2,
17,--,--,2,1,
18,--,--,2,6,
19,Big Red,Greenwich: CT: USA,1,5,
20,The Rocketeers,Clifton Park: NY: USA,2,9,
21,ComBBAT,Titusville: FL: USA,1,4,
22,Double Deuce,Chatsworth: CA: USA,5,1,
23,PNTA,Plymouth: MA: USA,6,2,
24,--,--,14,2,
25,Raider Robotix,North Brunswick: NJ: USA,2,2,
27,Team RUSH,Clarkston: MI: USA,1,5,
28,Pierson Whalers,Sag Harbor: NY: USA,6,1,
29,--,--,9,1,
30,FURY,Lincroft: NJ: USA,7,2,
31,Prime Movers,Jenks: OK: USA,2,5,
33,Killer Bees,Auburn Hills: MI: USA,9,1,
34,Rockets,Athens: AL: USA,7,1,
35,Sigma Squared,Whitehall: MI: USA,2,8,
37,--,Coral Gables: FL: USA,9,5,
38,Nonnebots,Woodbury: CT: USA,1,2,
39,The 39th Aero Squadron,Gilbert: AZ: USA,2,1,
40,Checkmate,Manchester: NH: USA,9,2,
41,RoboWarriors,Warren: NJ: USA,8,1,
42,P.A.R.T.S. (Precision Alvirne Robotics Team Systems),Hudson: NH: USA,5,1,
45,TechnoKats Robotics Team,Kokomo: IN: USA,2,1,
46,--,--,8,5,
47,Chief Delphi,Pontiac: MI: USA,8,6,
48,Delphi E.L.I.T.E.,Warren: OH: USA,9,9,
49,Robotic Knights,Saginaw: MI: USA,5,8,
51,The Wings of Fire,Pontiac: MI: USA,9,1,
52,--,--,7,6,
53,Area 53,Greenbelt: MD: USA,6,7,
55,--,--,3,6,1506177181
56,R.o.B.B.E.,Bound Brook: NJ: USA,1,4,
57,Leopards,Houston: TX: USA,5,1,
58,The Riot Crew,South Portland: ME: USA,6,2,
59,Ramtech,Miami: FL: USA,4,3,
60,Bionic Bulldogs,Kingman: AZ: USA,2,6,
61,The Intimidators,Upton: MA: USA,3,4,
62,--,--,6,5,
63,McDowell Robotics Team 63 The Red Barons,Erie: PA: USA,4,6,
64,Gila Monsters,Mesa: AZ: USA,8,1,
65,The Huskie Brigade,Pontiac: MI: USA,9,5,
66,The Flyers,Ypsilanti: MI: USA,4,6,
67,The HOT Team,Highland: MI: USA,7,2,
68,Truck Town Thunder,Ortonville: MI: USA,8,3,
69,HYPER,Quincy: MA: USA,6,1,
70,More Martians,Goodrich: MI: USA,5,6,
71,Team Hammond,Hammond: IN: USA,4,6,
73,The Illumination,Rochester: NY: USA,2,1,
74,Team C.H.A.O.S.,Holland: MI: USA,3,1,
75,RoboRaiders,Hillsborough: NJ: USA,1,6,
77,--,--,5,6,
78,AIR Strike,Newport: RI: USA,6,6,
79,Team Krunch,Tarpon Springs: FL: USA,7,6,
80,Robocolt,Phoenix: AZ: USA,6,6,
81,MetalHeads,Freeport: IL: USA,2,6,
84,Chuck 84,Towanda: PA: USA,1,2,
85,B.O.B. (Built on Brains),Zeeland: MI: USA,8,2,
86,Team Resistance,Jacksonville: FL: USA,6,6,
87,Red Devils,Mount Holly: NJ: USA,2,9,
88,TJ(Squared),Bridgewater: MA: USA,5,1,
89,--,PA: USA,8,5,
90,--,--,29,6,
92,RoboPats,Lincolnshire: IL: USA,4,6,
93,FIRST Robotics Team 93: NEW Apple Corps,Appleton: WI: USA,6,6,
94,The Technojays,Southfield: MI: USA,3,6,
95,Grasshoppers,Lebanon: NH: USA,1,6,
96,JESTER,Springfield: MA: USA,14,6,
97,Bionic Beef,Cambridge: MA: USA,6,6,
98,--,--,2,3,
100,The WildHats,Woodside: CA: USA,5,1,
101,Striker,Chicago: IL: USA,1,5,
102,The Gearheads,Somerville: NJ: USA,8,6,
103,Cybersonics,Kintnersville: PA: USA,2,1,
104,Team Universal,West Chester: PA: USA,1,3,
105,--,CHARLTON: MA: USA,2,1,
106,--,phila: PA: USA,5,6,
107,Team R.O.B.O.T.I.C.S.,Holland: MI: USA,16,4,
108,SigmaC@T Robotic Team,Ft. Lauderdale: FL: USA,9,6,
109,--,Libertyville: IL: USA,1,1,
111,WildStang,Schaumburg: IL: USA,6,3,
112,--,Arlington Heights: IL: USA,2,1,
114,Eagle Strike,Los Altos: CA: USA,6,1,
115,MVRT,Cupertino: CA: USA,2,2,
116,Epsilon Delta,Herndon: VA: USA,2,1,
117,The Steel Dragons,Pittsburgh: PA: USA,2,6,
