pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

008,b,r,1,0,1,0,0,0,0,0,0,0,1,01,1,2228,poorauto
017,b,0,1,0,1,0,0,0,0,0,0,0,1,03,3,0000,could conly push
024,b,r,1,0,1,0,0,0,0,0,0,0,1,01,1,0000,
034,b,0,0,0,1,0,1,0,0,0,0,0,0,00,0,3173,
044,b,0,0,0,0,0,0,0,0,0,1,0,0,00,0,0000,
051,b,0,0,0,1,0,0,0,0,0,0,0,1,01,1,0250,
056,b,0,0,0,0,0,1,0,0,0,0,0,2,04,2,1518,low stacker
