pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
1325,tank,1,1,0,0,0,1,0,0,4stacks possible can retrieval,0
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
10,15,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

003,r,0,0,0,1,1,4,4,07,1325, get big tote stacks fast no auto
014,r,0,0,0,1,1,1,5,02,1325,canstack alot:unsteady
018,b,0,0,0,1,0,5,4,08,1325,good stack strong bot : tips - fragile
025,r,0,0,0,1,1,5,4,04,1325,lifted an can and turned off
039,r,0,0,0,1,1,5,4,07,1325,
051,b,0,0,0,0,1,0,0,00,1850,died
