number,name,location,rank,votes,picture?,pit scouting?,pic check,pit check,rank,OPR (wrong)
20,The Rocketeers,Clifton Park: NY: USA,,,,1,,1,7,35.13
73,The Illumination,Rochester: NY: USA,,,,1,,1,42,85.12
174,Arctic Warriors,Liverpool: NY: USA,,,1,1,,1,30,13.8
191,X-CATS,Rochester: NY: USA,,,,1,,0,34,16.87
250,Dynamos,Colonie: NY: USA,,,,1,,1,18,24.39
340,G.R.R. (Greater Rochester Robotics),Churchville: NY: USA,,,,1,,1,19,25.13
378,The Circuit Stompers,Newfane: NY: USA,,,,,,0,10,39.73
395,2 TrainRobotics,Bronx: NY: USA,,,,1,,0,38,13.19
578,Red Raider Robotics,Fairport: NY: USA,,,,1,,0,21,15.83
743,Technobots,Bronx: NY: USA,,,,,,,31,1.87
1126,SPARX,Webster: NY: USA,,,,1,,,4,67.98
1155,SciBorgs,Bronx: NY: USA,,,,1,,,36,28.38
1405,Finney Falcons,Penfield: NY: USA,,,,1,,,12,42.2
1450,XQ RobotiX,Rochester: NY: USA,,,,1,,,40,27.13
1507,Warlocks,Lockport: NY: USA,,,1,1,,,2,71.63
1511,Rolling Thunder,Penfield: NY: USA,,,,1,,,8,33.79
1518,Raider Robotics,Palmyra: NY: USA,,,,1,,,32,6.39
1551,The Grapes of Wrath,Naples: NY: USA,,,,1,,,11,27.1
1559,Devil-Tech,Victor: NY: USA,,,,1,,,15,36.95
1585,Scitobor Robotics,Shortsville: NY: USA,,,,1,,,39,13.3
1591,Greece Gladiators,Rochester: NY: USA,,,,1,,,43,3.66
1660,Harlem Knights,New York: NY: USA,,,,1,,,20,25.61
1765,E1Bots,Cheektowaga: NY: USA,,,,1,,,28,8.31
2228,CougarTech,Honeoye Falls: NY: USA,,,,1,,,5,46.73
2265,Fe Maidens,Bronx: NY: USA,,,,1,,,23,25.8
2340,Xcentrics,Rochester: NY: USA,,,,1,,,37,13.81
2791,Shaker Robotics,Latham: NY: USA,,,,1,,,22,7.97
2809,K-Botics,Kingston: ON: Canada,,,,1,,,35,14.6
3003,TAN(X),Canandaigua: NY: USA,,,,1,,,13,27.92
3015,Ranger Robotics,Spencerport: NY: USA,,,,1,,,16,24.91
3044,Team 0xBE4,Ballston Spa: NY: USA,,,,1,,,17,38.09
3157,Eastridge Robotics,Rochester: NY: USA,,,,1,,,27,35.13
3173,IgKnighters,Rochester: NY: USA,,,,1,,,14,33.76
3181,Pittsford Panthers,Pittsford: NY: USA,,,,1,,,29,4.26
3799,Electric Fire,Elmira: NY: USA,,,,1,,,26,5.78
3838,Roc City Robotix,Rochester: NY: USA,,,,1,,,6,44.24
3951,SUITS,Honeoye: NY: USA,,,,1,,,33,16.07
4039,MakeShift Robotics,Hamilton: ON: Canada,,,1,1,,,9,40.23
4093,Joe's Average Slackers,Orleans County: NY: USA,,,,1,,,41,12.77
4505,McDonogh Eagle Robotics,Owings Mills: MD: USA,,,,1,,,24,24.18
5030,The Second Mouse,Utica: NY: USA,,,,1,,,3,46.68
5254,Robot Raiders,Trumansburg: NY: USA,,,,1,,,1,77.99
5349,RoboEagles,Central Square: NY: USA,,,,1,,,45,15.56
5433,Blinding Light,Webster: NY: USA,,,,1,,,44,1.1
5590,Alumiboti,Buffalo: NY: USA,,,,1,,,25,21.44
